Model,Val Acc,Test Acc,Test Prec (macro),Test Rec (macro),Test F1 (macro)
Baseline CNN,0.9130434989929199,0.9130434782608695,0.8805555555555555,0.8654761904761905,0.8655520724486241
Improved CNN,0.9130434989929199,0.9202898550724637,0.9105892535203675,0.8773809523809524,0.8910311454755441
MobileNetV2 (FT),0.9347826242446899,0.9492753623188406,0.9245516035871713,0.9238095238095239,0.9219928355957767
